id,country_ID,country,region,year,month,taric,type,eur,tons,eur_kg,eur_raw,tons_raw
208_121410_2014_9,208,Algeria,North Africa,2014,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.19065,0.0,0.0
208_121410_2014_10,208,Algeria,North Africa,2014,10,121410.0,Harina y pellets de alfalfa,17.16,95.36,0.1799,17.16,95.36
208_121410_2014_11,208,Algeria,North Africa,2014,11,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.1905,0.0,0.0
208_121410_2014_12,208,Algeria,North Africa,2014,12,121410.0,Harina y pellets de alfalfa,19.29,95.91,0.2011,19.29,95.91
208_121410_2015_1,208,Algeria,North Africa,2015,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.19185000000000002,0.0,0.0
208_121410_2015_2,208,Algeria,North Africa,2015,2,121410.0,Harina y pellets de alfalfa,74.58,408.38,0.1826,74.58,408.38
208_121410_2015_3,208,Algeria,North Africa,2015,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.1861,0.0,0.0
208_121410_2015_4,208,Algeria,North Africa,2015,4,121410.0,Harina y pellets de alfalfa,18.1,95.46,0.1896,18.1,95.46
208_121410_2015_5,208,Algeria,North Africa,2015,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.17782,0.0,0.0
208_121410_2015_6,208,Algeria,North Africa,2015,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.16604,0.0,0.0
208_121410_2015_7,208,Algeria,North Africa,2015,7,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.15426,0.0,0.0
208_121410_2015_8,208,Algeria,North Africa,2015,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.14248,0.0,0.0
208_121410_2015_9,208,Algeria,North Africa,2015,9,121410.0,Harina y pellets de alfalfa,253.77,1941.16,0.1307,253.77,1941.16
208_121410_2015_10,208,Algeria,North Africa,2015,10,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.14535,0.0,0.0
208_121410_2015_11,208,Algeria,North Africa,2015,11,121410.0,Harina y pellets de alfalfa,30.83,192.68,0.16,30.83,192.68
208_121410_2015_12,208,Algeria,North Africa,2015,12,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.17273333333333332,0.0,0.0
208_121410_2016_1,208,Algeria,North Africa,2016,1,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.18546666666666667,0.0,0.0
208_121410_2016_2,208,Algeria,North Africa,2016,2,121410.0,Harina y pellets de alfalfa,4.82,24.32,0.1982,4.82,24.32
208_121410_2016_3,208,Algeria,North Africa,2016,3,121410.0,Harina y pellets de alfalfa,22.72,96.66,0.2351,22.72,96.66
208_121410_2016_4,208,Algeria,North Africa,2016,4,121410.0,Harina y pellets de alfalfa,72.28,388.62,0.186,72.28,388.62
208_121410_2016_5,208,Algeria,North Africa,2016,5,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.191,0.0,0.0
208_121410_2016_6,208,Algeria,North Africa,2016,6,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.196,0.0,0.0
208_121410_2016_7,208,Algeria,North Africa,2016,7,121410.0,Harina y pellets de alfalfa,19.62,97.6,0.201,19.62,97.6
208_121410_2016_8,208,Algeria,North Africa,2016,8,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.201,0.0,0.0
208_121410_2016_9,208,Algeria,North Africa,2016,9,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.201,0.0,0.0
208_121410_2016_10,208,Algeria,North Africa,2016,10,121410.0,Harina y pellets de alfalfa,24.5,121.88,0.201,24.5,121.88
208_121410_2016_11,208,Algeria,North Africa,2016,11,121410.0,Harina y pellets de alfalfa,52.26,307.44,0.17,52.26,307.44
208_121410_2016_12,208,Algeria,North Africa,2016,12,121410.0,Harina y pellets de alfalfa,346.86,2315.12,0.1498,346.86,2315.12
208_121410_2017_1,208,Algeria,North Africa,2017,1,121410.0,Harina y pellets de alfalfa,43.32,294.7,0.147,43.32,294.7
208_121410_2017_2,208,Algeria,North Africa,2017,2,121410.0,Harina y pellets de alfalfa,24.39,121.32,0.201,24.39,121.32
208_121410_2017_3,208,Algeria,North Africa,2017,3,121410.0,Harina y pellets de alfalfa,0.0,0.0,0.21905000000000002,0.0,0.0
208_121410_2017_4,208,Algeria,North Africa,2017,4,121410.0,Harina y pellets de alfalfa,11.3,47.66,0.2371,11.3,47.66
208_121410_2017_5,208,Algeria,North Africa,2017,5,121410.0,Harina y pellets de alfalfa,30.02,121.06,0.248,30.02,121.06
